Reference,Actuator Type,Bandwidth (Hz),Strain (%),Stress (MPa),Efficiency (%),Power Density (W/g)
,SCP,,14.86279441,,,
,SCP,,15.26876388,,,
,SCP,,15.47226643,,,
,SCP,,16.02477845,,,
,SCP,,16.60349207,,,
,SCP,,17.09562649,,,
,SCP,,17.14119449,,,
,SCP,,17.63674651,,,
,SCP,,17.68516251,,,
,SCP,,18.05255453,,,
,SCP,,18.26957214,,,
,SCP,,18.58228255,,,
,SCP,,18.82151456,,,
,SCP,,19.19745057,,,
,SCP,,19.43098658,,,
,SCP,,19.76135459,,,
,SCP,,19.9493226,,,
,SCP,,20.35286231,,,
,SCP,,20.50468262,,,
,SCP,,21.14548265,,,
,SCP,,21.46331946,,,
,SCP,,21.70369067,,,
,SCP,,22.01697068,,,
,SCP,,22.29379629,,,
,SCP,,22.6321387,,,
,SCP,,22.86282671,,,
,SCP,,23.22016696,,,
,SCP,,23.38571953,,,
,SCP,,23.73858675,,,
,SCP,,23.96500275,,,
,SCP,,24.33410357,,,
,SCP,,24.51181878,,,
,SCP,,24.88775479,,,
,SCP,,25.0723052,,,
,SCP,,25.48714927,,,
,SCP,,25.65671482,,,
,SCP,,25.99190252,,,
,SCP,,26.20922684,,,
,SCP,,26.57946685,,,
,SCP,,26.78452286,,,
,SCP,,27.13238573,,,
,SCP,,27.32279488,,,
,SCP,,27.7841709,,,
,SCP,,28.00916291,,,
,SCP,,28.19428292,,,
,SCP,,28.65199722,,,
,SCP,,28.57021893,,,
,SCP,,28.86356294,,,
,SCP,,29.20247495,,,
[78],SMP,,0.782955266,2.942799737,,
,SMP,,1.925324163,11.83240713,,
,SMP,,2.1429962,13.48713321,,
,SMP,,2.360598471,15.17634148,,
,SMP,,2.578549574,16.69313883,,
,SMP,,2.851267521,18.45120681,,
,SMP,,3.179077888,20.28962856,,
,SMP,,3.562294626,22.05323426,,
,SMP,,4.111090947,23.9084785,,
,SMP,,5.013992697,25.52972355,,
,SMP,,6.181689556,26.5826627,,
,SMP,,7.474924576,27.23044631,,
,SMP,,8.726505568,27.6582805,,
,SMP,,9.948938705,27.92722407,,
,SMP,,11.03155012,28.11827314,,
,SMP,,11.89330813,28.22698358,,
,SMP,,14.70315114,28.3595901,,
,SMP,,17.27157487,28.1708214,,
,SMP,,18.56852812,28.02124164,,
,SMP,,19.85061642,27.93605653,,
,SMP,,21.06623103,27.93375423,,
,SMP,,23.99447806,28.0661365,,
,SMP,,25.74763097,8.173570416,,
,SMP,,26.24162789,9.803635722,,
,SMP,,26.86746988,28.19862342,,
,SMP,,26.68059984,11.32001448,,
,SMP,,28.10331683,18.19648867,,
,SMP,,28.32098887,19.85121475,,
,SMP,,28.88893614,21.3443612,,
,SMP,,28.74761211,27.47093952,,
,SMP,,28.75486784,23.88479271,,
[164],SMA,,0.05405292574,,,
,SMA,,0.1446593854,,,
,SMA,,0.3045218942,,,
,SMA,,0.2600108826,,,
,SMA,,0.3753623798,,,
,SMA,,0.4791729073,,,
,SMA,,0.5570147981,,,
,SMA,,0.5829811069,,,
,SMA,,0.7557313229,,,
,SMA,,0.809507702,,,
,SMA,,0.9970880084,,,
,SMA,,1.062000606,,,
,SMA,,1.249803129,,,
,SMA,,1.31449351,,,
,SMA,,1.502475922,,,
,SMA,,1.566986414,,,
,SMA,,1.755127552,,,
,SMA,,1.819479317,,,
,SMA,,2.007762251,,,
,SMA,,2.071980687,,,
,SMA,,2.260386368,,,
,SMA,,2.324465125,,,
,SMA,,2.51300202,,,
,SMA,,2.576958029,,,
,SMA,,2.765617672,,,
,SMA,,2.829450933,,,
,SMA,,3.018216394,,,
,SMA,,3.081943837,,,
,SMA,,3.270821464,,,
,SMA,,3.334436741,,,
,SMA,,3.523420185,,,
,SMA,,3.586929644,,,
,SMA,,3.776018906,,,
,SMA,,3.839422548,,,
,SMA,,4.028615511,,,
,SMA,,4.091923918,,,
,SMA,,4.281205767,,,
,SMA,,4.344408356,,,
,SMA,,4.533800256,,,
,SMA,,4.59690126,,,
,SMA,,4.786394744,,,
,SMA,,4.849394164,,,
,SMA,,5.038987116,,,
,SMA,,5.101887068,,,
,SMA,,5.291575256,,,
,SMA,,5.354379972,,,
,SMA,,5.544171861,,,
,SMA,,5.606872875,,,
,SMA,,5.796766349,,,
,SMA,,5.859365779,,,
,SMA,,6.049358721,,,
,SMA,,6.111862916,,,
,SMA,,6.301957443,,,
,SMA,,6.364351587,,,
,SMA,,6.55455828,,,
,SMA,,6.616844491,,,
,SMA,,6.80716335,,,
,SMA,,6.869337395,,,
,SMA,,7.059759955,,,
,SMA,,7.121830299,,,
,SMA,,7.312375607,,,
,SMA,,7.374323202,,,
,SMA,,7.564991259,,,
,SMA,,7.512046605,,,
,SMA,,7.817617493,,,
,SMA,,8.070252192,,,
,SMA,,8.322903822,,,
,SMA,,8.575574499,,,
,SMA,,8.828289619,,,
,SMA,,9.035128684,,,
,SMA,,7.565028665,,,
,SMA,,7.673273273,,,
,SMA,,7.808435708,,,
,SMA,,7.876112476,,,
,SMA,,8.024870325,,,
,SMA,,8.16022386,,,
,SMA,,8.281900082,,,
,SMA,,8.417280917,,,
,SMA,,8.39011739,,,
,SMA,,8.552443352,,,
,SMA,,8.660660661,,,
,SMA,,8.768959869,,,
,SMA,,8.917635818,,,
,SMA,,9.025962326,,,
,SMA,,9.174692875,,,
,SMA,,9.296369096,,,
,SMA,,9.418263718,,,
,SMA,,9.593966694,,,
,SMA,,9.756292656,,,
,SMA,,9.864646465,,,
,SMA,,10.02683593,,,
,SMA,,10.16216216,,,
[165],SMA,,0.1399722603,2.303068042,,
,SMA,,0.2854866684,2.194451344,,
,SMA,,0.4844668461,1.985364916,,
,SMA,,0.7344120312,1.788727381,,
,SMA,,1.08131283,1.584678515,,
,SMA,,1.404201021,1.385710798,,
,SMA,,2.170947152,1.187080873,,
,SMA,,2.428681504,1.005495585,,
,SMA,,2.780424412,0.8084810016,,
,SMA,,3.322776426,0.590588165,,
,SMA,,3.439660584,0.3998504807,,
,SMA,,3.590134023,0.1899996996,,
[166],SMA,,0.1248744148,,,
,SMA,,0.4600712003,,,
,SMA,,0.7952752245,,,
,SMA,,1.130464771,,,
,SMA,,1.465665176,,,
,SMA,,1.800858342,,,
,SMA,,2.136058747,,,
,SMA,,2.471251913,,,
,SMA,,2.806452318,,,
,SMA,,3.141641865,,,
,SMA,,3.47683865,,,
,SMA,,3.812042675,,,
,SMA,,4.147235841,,,
,SMA,,4.482436246,,,
,SMA,,4.81764027,,,
,SMA,,5.152826197,,,
,SMA,,5.488026602,,,
,SMA,,5.823234246,,,
,SMA,,6.051728483,,,
[170],SMA,,2.460968508,0.625475321,,
,SMA,,3.797902199,0.938690516,,
,SMA,,4.510652067,1.229562956,,
,SMA,,5.351901452,1.509856384,,
,SMA,,6.564972956,1.874187083,,
,SMA,,8.069073798,2.182263936,,
,SMA,,9.428565316,2.490402238,,
,SMA,,10.79673339,2.798536852,,
,SMA,,12.22563739,3.106645658,,
,SMA,,13.63718826,3.414761839,,
,SMA,,15.16153441,3.722830089,,
,SMA,,16.66852744,4.030905712,,
,SMA,,18.06272519,4.339029266,,
,SMA,,19.47427607,4.647145446,,
,SMA,,20.8945035,4.955257939,,
,SMA,,22.35811373,5.263351998,,
,SMA,,23.82172396,5.571446056,,
,SMA,,25.29401076,5.879536428,,
,SMA,,26.8183569,6.187604678,,
,SMA,,28.32534993,6.495680302,,
,SMA,,29.72822425,6.803800169,,
,SMA,,31.07036265,7.111945844,,
,SMA,,32.39514793,7.420098894,,
,SMA,,33.68522697,7.728266691,,
,SMA,,35.0323234,8.036410259,,
,SMA,,36.23657482,8.369171481,,
,SMA,,37.11295956,8.652958115,,
,SMA,,37.76964976,8.961395057,,
,SMA,,38.0098651,9.270008972,,
,SMA,,38.08522581,9.578692938,,
,SMA,,38.21067952,9.897880027,,
,SMA,,38.74596671,10.18742462,,
,SMA,,39.52931037,10.49954976,,
,SMA,,40.96741665,10.55974636,,
[173],SMA,,1.25264853,252.067918,,
,SMA,,1.31278395,249.005905,,
,SMA,,1.37284045,244.333967,,
,SMA,,1.43297587,241.271953,,
,SMA,,1.49311129,238.20994,,
,SMA,,1.55316779,233.538002,,
,SMA,,1.61330321,230.475988,,
,SMA,,1.67335971,225.80405,,
,SMA,,1.70330905,221.858157,,
,SMA,,1.76348392,219.601106,,
,SMA,,1.79343326,215.655212,,
,SMA,,1.85352922,211.788236,,
,SMA,,1.91366464,208.726223,,
,SMA,,1.89843349,205.466915,,
,SMA,,1.97372114,204.054285,,
,SMA,,2.03377764,199.382347,,
,SMA,,2.09375522,193.100484,,
,SMA,,2.15389064,190.03847,,
,SMA,,2.15365389,185.208697,,
,SMA,,2.21386822,183.756608,,
,SMA,,2.27400364,180.694594,,
,SMA,,2.30387406,175.138776,,
,SMA,,2.36397002,171.2718,,
,SMA,,2.42410544,168.209787,,
,SMA,,2.48408302,161.927924,,
,SMA,,2.54421844,158.865911,,
,SMA,,2.60419602,152.584048,,
,SMA,,2.66433144,149.522035,,
,SMA,,2.64910029,146.262726,,
,SMA,,2.72446686,146.460021,,
,SMA,,2.72423011,141.630247,,
,SMA,,2.78444444,140.178159,,
,SMA,,2.84446149,134.701258,,
,SMA,,2.90447853,129.224358,,
,SMA,,2.99460274,123.021413,,
,SMA,,3.05465924,118.349475,,
,SMA,,3.11471574,113.677537,,
,SMA,,3.1748117,109.810561,,
,SMA,,3.2348682,105.138623,,
,SMA,,3.29500362,102.07661,,
,SMA,,3.32483458,95.715829,,
,SMA,,3.615134,17.36802,,
,SMA,,3.677345,37.8263,,
,SMA,,3.730324,53.2155,,
,SMA,,3.713467,21.67457,,
,SMA,,3.764038,67.19056,,
,SMA,,3.780895,37.20241,,
,SMA,,3.821165,78.20562,,
,SMA,,3.84926,48.76742,,
,SMA,,3.8708,90.19118,,
,SMA,,3.896085,108.5334,,
,SMA,,3.930201,65.06935,,
,SMA,,3.955085,125.1288,,
,SMA,,3.910133,48.84829,,
,SMA,,3.989736,80.87447,,
,SMA,,4.036561,135.7072,,
,SMA,,4.03937,93.97609,,
,SMA,,4.095561,107.0777,,
,SMA,,4.118037,149.294,,
,SMA,,4.158307,120.6646,,
,SMA,,4.170013,163.1235,,
,SMA,,4.211152,184.2317,,
,SMA,,4.162989,172.5858,,
,SMA,,4.233227,139.8318,,
,SMA,,4.264131,200.2448,,
,SMA,,4.233227,124.5465,,
,SMA,,4.295437,156.7807,,
,SMA,,4.326877,216.2579,,
,SMA,,4.303465,143.4711,,
,SMA,,4.376512,172.5858,,
,SMA,,4.407818,234.7665,,
,SMA,,4.410226,186.5609,,
,SMA,,4.359655,162.3957,,
,SMA,,4.38775,220.6251,,
,SMA,,4.460797,197.3333,,
,SMA,,4.486083,252.166,,
,SMA,,4.528226,238.7004,,
,SMA,,4.514178,213.3464,,
,SMA,,4.545083,265.7529,,
,SMA,,4.584416,225.7201,,
,SMA,,4.629368,274.4873,,
,SMA,,4.629368,251.4867,,
,SMA,,4.612511,239.0644,,
,SMA,,4.659336,298.7495,,
,SMA,,4.659336,285.1627,,
,SMA,,4.668701,264.2971,,
,SMA,,4.713653,313.501,,
,SMA,,4.775463,328.6406,,
,SMA,,4.743622,280.7955,,
,SMA,,4.724892,265.7529,,
,SMA,,4.83259,339.0249,,
,SMA,,4.809177,299.2348,,
,SMA,,4.842891,314.3744,,
,SMA,,4.88878,353.5822,,
,SMA,,4.902827,333.6872,,
,SMA,,4.949653,355.2806,,
,SMA,,1.27897,360.1558,,
,SMA,,1.27897,350.8333,,
,SMA,,1.27897,344.3075,,
,SMA,,1.318125,371.4981,,
,SMA,,1.357279,380.5099,,
,SMA,,1.324148,364.817,,
,SMA,,1.347383,346.7047,,
,SMA,,1.409342,389.7214,,
,SMA,,1.409342,355.2281,,
,SMA,,1.396434,381.5975,,
,SMA,,1.443419,399.1238,,
,SMA,,1.439805,368.3596,,
,SMA,,1.481627,409.4319,,
,SMA,,1.483778,375.6933,,
,SMA,,1.456671,358.9128,,
,SMA,,1.501247,419.4469,,
,SMA,,1.513897,429.1423,,
,SMA,,1.48679,400.2426,,
,SMA,,1.551847,436.2274,,
,SMA,,1.546168,379.9994,,
,SMA,,1.58799,444.6177,,
,SMA,,1.604254,388.434,,
,SMA,,1.644269,452.1822,,
,SMA,,1.61329,381.5975,,
,SMA,,1.66234,395.7145,,
,SMA,,1.718706,463.0141,,
,SMA,,1.700032,453.008,,
,SMA,,1.730753,401.1748,,
,SMA,,1.748825,410.2642,,
,SMA,,1.784967,467.4811,,
,SMA,,1.803039,417.1784,,
,SMA,,1.839181,429.7638,,
,SMA,,1.85338,473.7572,,
,SMA,,1.863276,441.2616,,
,SMA,,1.848217,420.7521,,
,SMA,,1.899419,484.1451,,
,SMA,,1.88436,433.8036,,
,SMA,,1.93341,450.7173,,
,SMA,,1.902431,443.1261,,
,SMA,,1.96568,488.9229,,
,SMA,,1.987624,460.0398,,
,SMA,,1.974716,451.5164,,
,SMA,,2.025918,469.2291,,
,SMA,,2.034093,492.1802,,
,SMA,,2.062061,479.6393,,
,SMA,,2.09218,499.9934,,
,SMA,,2.132195,487.741,,
,SMA,,2.101215,480.4161,,
,SMA,,2.150266,509.1827,,
,SMA,,2.200608,521.1244,,
,SMA,,2.196735,496.7971,,
,SMA,,2.220486,510.2482,,
,SMA,,2.258694,529.5591,,
,SMA,,2.245786,502.7902,,
,SMA,,2.290964,515.8417,,
,SMA,,2.330979,534.8862,,
,SMA,,2.327107,525.1642,,
,SMA,,2.318071,520.0368,,
